gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,Churn_numeric,InternetService_Fiber optic,Contract_One year,Contract_Two year,CustomerValue,TotalServices,Senior_Fiber_Risk,ContractRisk,Cluster,Persona
0,0,0,1,0,0,25,1,1,False,False,False,25,0,0,2,1,At-Risk Newbies
1,0,0,41,1,0,25,0,0,False,True,False,1025,1,0,1,2,Stable Budgeteers
0,0,1,52,1,0,19,0,0,False,False,False,988,1,0,2,2,Stable Budgeteers
0,0,0,1,1,0,76,1,1,False,True,False,76,1,0,1,1,At-Risk Newbies
1,0,0,67,1,0,51,0,0,True,False,False,3417,1,0,2,2,Stable Budgeteers
0,1,0,68,1,1,90,1,1,True,False,False,6120,2,1,2,0,Loyal High-Rollers
0,0,1,23,1,1,77,0,0,True,False,False,1771,2,0,2,1,At-Risk Newbies
1,0,1,72,1,0,72,0,0,False,False,False,5184,1,0,2,0,Loyal High-Rollers
1,0,0,70,1,1,104,1,1,True,False,False,7280,2,0,2,0,Loyal High-Rollers
1,0,0,1,1,0,19,1,1,False,True,False,19,1,0,1,1,At-Risk Newbies
1,0,0,1,1,0,20,0,0,False,False,False,20,1,0,2,1,At-Risk Newbies
1,0,1,34,1,0,84,0,0,False,False,True,2856,1,0,0,0,Loyal High-Rollers
1,1,1,28,1,1,51,0,0,True,True,False,1428,2,1,1,1,At-Risk Newbies
0,1,0,18,1,1,85,1,1,True,False,False,1530,2,1,2,1,At-Risk Newbies
0,0,0,15,1,0,20,0,0,True,False,False,300,1,0,2,2,Stable Budgeteers
0,1,0,11,1,1,95,1,1,True,False,True,1045,2,1,0,1,At-Risk Newbies
1,0,0,11,1,0,54,1,1,False,True,False,594,1,0,1,1,At-Risk Newbies
1,0,1,1,1,1,70,1,1,True,False,True,70,2,0,0,1,At-Risk Newbies
0,0,1,37,1,0,89,0,0,False,False,False,3293,1,0,2,0,Loyal High-Rollers
1,0,1,22,1,0,89,1,1,True,False,False,1958,1,0,2,1,At-Risk Newbies
0,0,0,1,1,0,70,0,0,False,False,False,70,1,0,2,1,At-Risk Newbies
0,0,1,1,1,0,19,0,0,False,True,False,19,1,0,1,1,At-Risk Newbies
1,0,1,46,1,0,80,0,0,False,False,False,3680,1,0,2,0,Loyal High-Rollers
0,0,0,51,1,1,107,0,0,False,False,True,5457,2,0,0,0,Loyal High-Rollers
0,0,0,41,1,0,104,0,0,False,False,False,4264,1,0,2,0,Loyal High-Rollers
0,0,0,5,1,0,68,1,1,False,False,False,340,1,0,2,1,At-Risk Newbies
0,0,0,45,1,1,89,1,1,True,False,False,4005,2,0,2,0,Loyal High-Rollers
1,0,1,29,1,0,60,0,0,False,False,False,1740,1,0,2,1,At-Risk Newbies
0,1,0,15,1,1,92,0,0,False,False,True,1380,2,0,0,1,At-Risk Newbies
1,0,0,72,0,0,64,0,0,False,False,False,4608,0,0,2,0,Loyal High-Rollers
1,0,0,50,1,1,104,0,0,True,False,True,5200,2,0,0,0,Loyal High-Rollers
1,0,1,27,1,0,21,0,0,True,False,False,567,1,0,2,2,Stable Budgeteers
1,0,0,72,1,0,85,0,0,False,True,False,6120,1,0,1,0,Loyal High-Rollers
0,0,1,51,1,0,70,0,0,False,False,False,3570,1,0,2,0,Loyal High-Rollers
0,0,0,60,1,0,94,0,0,False,False,False,5640,1,0,2,0,Loyal High-Rollers
1,0,0,17,1,1,19,0,0,True,False,True,323,2,0,0,2,Stable Budgeteers
0,0,0,72,1,0,21,0,0,True,False,False,1512,1,0,2,2,Stable Budgeteers
0,0,0,33,1,0,104,1,1,True,False,False,3432,1,0,2,0,Loyal High-Rollers
0,1,1,66,1,1,105,0,0,True,False,False,6930,2,1,2,0,Loyal High-Rollers
0,0,1,69,1,1,104,1,1,True,False,False,7176,2,0,2,0,Loyal High-Rollers
1,0,0,5,1,0,70,1,1,False,True,False,350,1,0,1,1,At-Risk Newbies
0,0,0,57,1,1,101,0,0,False,False,True,5757,2,0,0,0,Loyal High-Rollers
0,1,0,8,1,0,76,1,1,False,True,False,608,1,0,1,1,At-Risk Newbies
0,0,0,14,1,1,51,0,0,False,False,True,714,2,0,0,1,At-Risk Newbies
1,0,0,25,1,1,95,1,1,False,False,False,2375,2,0,2,0,Loyal High-Rollers
0,0,1,52,1,1,20,0,0,True,False,False,1040,2,0,2,2,Stable Budgeteers
0,1,0,7,1,0,76,1,1,False,False,False,532,1,0,2,1,At-Risk Newbies
1,0,0,13,1,0,80,1,1,True,False,False,1040,1,0,2,1,At-Risk Newbies
0,1,0,15,1,1,90,1,1,False,False,True,1350,2,0,0,1,At-Risk Newbies
1,0,0,22,1,1,55,1,1,False,False,True,1210,2,0,0,1,At-Risk Newbies
0,0,0,19,1,1,20,0,0,True,False,False,380,2,0,2,2,Stable Budgeteers
1,0,1,23,0,0,30,0,0,True,False,False,690,0,0,2,2,Stable Budgeteers
0,0,0,72,1,1,114,0,0,False,False,False,8208,2,0,2,0,Loyal High-Rollers
1,1,0,72,1,1,98,0,0,True,False,False,7056,2,1,2,0,Loyal High-Rollers
0,0,1,59,1,0,97,0,0,False,True,False,5723,1,0,1,0,Loyal High-Rollers
0,0,1,70,1,1,75,0,0,True,False,False,5250,2,0,2,0,Loyal High-Rollers
1,0,1,70,1,1,101,0,0,True,True,False,7070,2,0,1,0,Loyal High-Rollers
1,0,1,9,1,1,103,0,0,True,True,False,927,2,0,1,1,At-Risk Newbies
0,0,0,3,1,1,25,0,0,False,False,True,75,2,0,0,1,At-Risk Newbies
1,1,0,17,1,1,102,0,0,True,False,True,1734,2,1,0,1,At-Risk Newbies
0,0,1,28,1,1,70,0,0,True,False,False,1960,2,0,2,1,At-Risk Newbies
0,0,0,10,1,1,54,0,0,True,False,False,540,2,0,2,1,At-Risk Newbies
1,0,1,11,1,0,21,0,0,False,False,True,231,1,0,0,1,At-Risk Newbies
1,1,0,72,1,0,103,0,0,False,True,False,7416,1,0,1,0,Loyal High-Rollers
1,0,0,8,1,1,70,1,1,True,False,False,560,2,0,2,1,At-Risk Newbies
1,1,0,69,1,0,20,0,0,False,False,False,1380,1,0,2,2,Stable Budgeteers
0,0,1,39,1,1,20,0,0,True,True,False,780,2,0,1,2,Stable Budgeteers
1,0,1,67,0,0,51,0,0,False,False,True,3417,0,0,0,2,Stable Budgeteers
1,0,0,39,1,0,20,0,0,False,False,True,780,1,0,0,2,Stable Budgeteers
1,0,1,54,1,0,66,0,0,True,False,False,3564,1,0,2,0,Loyal High-Rollers
0,0,0,1,1,0,74,1,1,False,False,False,74,1,0,2,1,At-Risk Newbies
0,0,1,72,0,0,60,0,0,False,True,False,4320,0,0,1,0,Loyal High-Rollers
1,0,0,10,1,1,99,1,1,True,False,True,990,2,0,0,1,At-Risk Newbies
